2025-06-19 18:31:05.561 WARNING (SyncWorker_0) [homeassistant.loader] We found a custom integration scheduler which has not been tested by Home Assistant. This component might cause stability problems, be sure to disable it if you experience issues with Home Assistant
2025-06-19 19:25:26.257 WARNING (MainThread) [homeassistant.components.websocket_api.http.connection] [139656852724672] from 192.168.0.100 (Home Assistant/2025.5 (io.robbie.HomeAssistant; build:2025.1264; iOS 18.5.0)): Disconnected: Received close message during auth phase
2025-06-19 19:25:26.281 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 192.168.0.100 (192.168.0.100). Requested URL: '/auth/token'. (Home Assistant/2025.5 (io.robbie.HomeAssistant; build:2025.1264; iOS 18.5.0) Alamofire/5.8.0)
2025-06-19 19:25:26.283 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 192.168.0.100 (192.168.0.100). Requested URL: '/auth/token'. (Home Assistant/2025.5 (io.robbie.HomeAssistant; build:2025.1264; iOS 18.5.0) Alamofire/5.8.0)
2025-06-19 19:25:26.296 WARNING (MainThread) [homeassistant.components.websocket_api.http.connection] [139656852731872] from 192.168.0.100 (Home Assistant/2025.5 (io.robbie.HomeAssistant; build:2025.1264; iOS 18.5.0)): Disconnected: Received close message during auth phase
2025-06-19 19:25:26.305 WARNING (MainThread) [homeassistant.components.websocket_api.http.connection] [139656852732192] from 192.168.0.100 (Home Assistant/2025.5 (io.robbie.HomeAssistant; build:2025.1264; iOS 18.5.0)): Disconnected: Received close message during auth phase
2025-06-19 19:25:26.323 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 192.168.0.100 (192.168.0.100). Requested URL: '/auth/token'. (Home Assistant/2025.5 (io.robbie.HomeAssistant; build:2025.1264; iOS 18.5.0) Alamofire/5.8.0)
2025-06-19 19:25:26.325 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 192.168.0.100 (192.168.0.100). Requested URL: '/auth/token'. (Home Assistant/2025.5 (io.robbie.HomeAssistant; build:2025.1264; iOS 18.5.0) Alamofire/5.8.0)
2025-06-19 19:25:26.347 WARNING (MainThread) [homeassistant.components.websocket_api.http.connection] [139656852724832] from 192.168.0.100 (Home Assistant/2025.5 (io.robbie.HomeAssistant; build:2025.1264; iOS 18.5.0)): Disconnected: Received close message during auth phase
2025-06-19 19:25:26.362 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 192.168.0.100 (192.168.0.100). Requested URL: '/auth/token'. (Home Assistant/2025.5 (io.robbie.HomeAssistant; build:2025.1264; iOS 18.5.0) Alamofire/5.8.0)
2025-06-19 19:25:26.377 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 192.168.0.100 (192.168.0.100). Requested URL: '/auth/token'. (Home Assistant/2025.5 (io.robbie.HomeAssistant; build:2025.1264; iOS 18.5.0) Alamofire/5.8.0)
